iter	R2	RMSE
0	0.007992594854	341.4031414
1	0.01508392688	340.1806983
2	0.02289536794	338.829014
3	0.03023842944	337.5534421
4	0.03762543904	336.2653537
5	0.04453889491	335.055354
6	0.05095336877	333.9287655
7	0.05709517422	332.8464928
8	0.06458038609	331.5227162
9	0.07101208746	330.3810184
10	0.07754047544	329.2181087
11	0.08435283407	328.000219
12	0.09133525396	326.7472155
13	0.09760398857	325.6181762
14	0.1043336849	324.4017412
15	0.110744988	323.2385997
16	0.1172357186	322.0567694
17	0.1231377991	320.9783429
18	0.1289627019	319.9104538
19	0.1355431262	318.6997493
20	0.1404952331	317.7855904
21	0.1463466501	316.7020178
22	0.1519568579	315.6596199
23	0.1580021035	314.5325234
24	0.1640144455	313.4075414
25	0.1693228516	312.4109069
26	0.1750252842	311.3367411
27	0.1807403774	310.2564589
28	0.1854942937	309.354987
29	0.1911900363	308.2714479
30	0.1964161457	307.273889
31	0.2011546548	306.3665954
32	0.2060941848	305.4179427
33	0.2113879512	304.3979757
34	0.21636798	303.4353278
35	0.2208313252	302.5699531
36	0.2258092118	301.6018879
37	0.2301964441	300.7461056
38	0.2346991391	299.8652614
39	0.2391080003	299.0002592
40	0.2439068252	298.0558943
41	0.2490944969	297.0316307
42	0.2533808093	296.1826607
43	0.2575284674	295.3588302
44	0.2617157318	294.5247955
45	0.2657918694	293.7106204
46	0.2702078745	292.8260049
47	0.2746223204	291.9390227
48	0.2785288349	291.1518441
49	0.2825739632	290.334485
50	0.2868952975	289.4587659
51	0.2912672015	288.5700945
52	0.2950095221	287.807218
53	0.2995429415	286.8803578
54	0.3035864992	286.0511162
55	0.3075573063	285.234448
56	0.3106488335	284.5969971
57	0.3146929531	283.7609665
58	0.31841006	282.9903601
59	0.3216560255	282.3157073
60	0.3253323976	281.5496448
61	0.3289260469	280.7987998
62	0.3325720921	280.0349499
63	0.3363027792	279.2512048
64	0.3401187413	278.4472628
65	0.3435159223	277.729591
66	0.3472151803	276.9459887
67	0.350668598	276.2124557
68	0.3540536643	275.4915455
69	0.3577552074	274.7010704
70	0.3608478415	274.0388813
71	0.3641311629	273.3341068
72	0.3673438307	272.6427349
73	0.3708704782	271.8817699
74	0.3740901621	271.1851755
75	0.3772370526	270.5025968
76	0.3802786234	269.8412217
77	0.3832785471	269.1873108
78	0.3864416517	268.4961055
79	0.3894117903	267.8454436
80	0.3925320193	267.1601949
81	0.395836876	266.4324773
82	0.3987164342	265.7967846
83	0.4019752432	265.0755294
84	0.4049885946	264.4068493
85	0.4077565216	263.7911368
86	0.4110110273	263.0653437
87	0.4139330685	262.4119838
88	0.4168968612	261.7476224
89	0.4195759862	261.1456175
90	0.4221448733	260.5670771
91	0.4247337203	259.982739
92	0.4274925578	259.3585827
93	0.4300870483	258.7702344
94	0.4328530118	258.1415248
95	0.4356771231	257.4980142
96	0.4381976308	256.9223224
97	0.4409722943	256.2870854
98	0.4438892247	255.6175753
99	0.4464605448	255.0259341
100	0.4490157732	254.4366325
101	0.4517730928	253.7991887
102	0.4546357276	253.1356995
103	0.4572216781	252.5348403
104	0.4595248825	251.9984725
105	0.461991545	251.4227697
106	0.4644254315	250.8534216
107	0.4664330195	250.3828213
108	0.4691235744	249.7507356
109	0.4714042549	249.2136853
110	0.4738208876	248.6433554
111	0.4759962388	248.1288473
112	0.4784761752	247.5409951
113	0.4809289487	246.9582053
114	0.4831423328	246.4311124
115	0.4855518197	245.8560352
116	0.4876303598	245.3588628
117	0.4899362078	244.8061386
118	0.4918975219	244.3350169
119	0.4940783442	243.810099
120	0.4964459451	243.2389414
121	0.4986430237	242.7077181
122	0.5012624113	242.072863
123	0.5035195965	241.5244554
124	0.5054910989	241.0444368
125	0.5078116738	240.4781988
126	0.5099763649	239.9487931
127	0.5124357945	239.3458839
128	0.5145552397	238.8250981
129	0.5167303713	238.2894458
130	0.5189040626	237.7529425
