iter	Passed	Remaining
0	264	793356
1	428	642700
2	566	565952
3	683	511870
4	782	468676
5	906	452342
6	1042	445694
7	1155	432235
8	1278	424865
9	1369	409358
10	1473	400444
11	1642	408918
12	1775	407933
13	1886	402414
14	1915	381255
15	2014	375725
16	2103	369066
17	2204	365294
18	2297	360410
19	2383	355079
20	2470	350390
21	2562	346915
22	2658	344165
23	2766	343101
24	2872	341836
25	2974	340203
26	3082	339426
27	3192	338811
28	3329	341138
29	3448	341437
30	3554	340401
31	3669	340334
32	3777	339647
33	3880	338543
34	3977	336925
35	3995	328998
36	4117	329705
37	4229	329639
38	4357	330828
39	4480	331584
40	4589	331233
41	4720	332431
42	4828	332065
43	4925	330934
44	5018	329521
45	5119	328746
46	5208	327225
47	5309	326518
48	5405	325544
49	5436	320766
50	5523	319413
51	5618	318540
52	5714	317748
53	5822	317659
54	5926	317336
55	6041	317624
56	6084	314132
57	6198	314437
58	6296	313852
59	6390	313110
60	6483	312384
61	6564	311095
62	6677	311319
63	6787	311359
64	6905	311831
65	7018	311984
66	7118	311627
67	7212	311007
68	7316	310798
69	7424	310786
70	7465	307966
71	7565	307660
72	7667	307446
73	7754	306600
74	7852	306262
75	7951	305941
76	8048	305524
77	8163	305832
78	8264	305586
79	8365	305323
80	8461	304932
81	8565	304794
82	8668	304635
83	8775	304647
84	8905	305417
85	9019	305617
86	9138	305970
87	9246	305991
88	9339	305472
89	9432	304978
90	9529	304638
91	9645	304888
92	9748	304724
93	9852	304580
94	9946	304154
95	10041	303760
96	10141	303521
97	10238	303195
98	10333	302796
99	10426	302367
100	10520	301982
101	10622	301813
102	10720	301525
103	10809	300989
104	10913	300911
105	11020	300892
106	11111	300425
107	11202	299977
108	11295	299590
109	11387	299178
110	11491	299094
111	11594	298980
112	11675	298284
113	11760	297719
114	11860	297551
115	11959	297337
116	12043	296753
117	12124	296126
118	12205	295502
119	12327	295854
120	12423	295590
121	12520	295352
122	12617	295129
123	12700	294565
124	12731	292820
125	12823	292491
126	12903	291902
127	13003	291768
128	13105	291671
129	13217	291804
130	13302	291333
131	13384	290800
132	13472	290423
133	13568	290211
134	13662	289946
135	13762	289821
136	13863	289708
137	13963	289595
138	14063	289462
139	14142	288918
140	14235	288652
141	14325	288320
