Order_ID,Date,Food_Item,Quantity_Sold,Price,Weather,Weekend,Festival,Customer_Count,Inventory_Level
1,2024-05-18,Biryani,15,214.93,Rainy,1,0,222,55
2,2024-05-24,Biryani,4,333.73,Sunny,0,1,197,497
3,2024-02-01,Burger,1,435.73,Rainy,1,0,84,327
4,2023-11-22,Wrap,7,300.88,Cloudy,1,1,249,252
5,2024-08-08,Burger,13,262.5,Sunny,0,0,295,485
6,2023-06-11,Tea,4,64.95,Cloudy,0,1,255,330
7,2024-08-08,Cake,1,345.37,Sunny,0,1,210,392
8,2024-01-12,Noodles,3,340.68,Hot,0,1,150,113
9,2024-08-10,Fried Rice,6,159.89,Rainy,1,0,60,284
10,2023-08-17,Ice Cream,4,269.94,Rainy,1,1,20,251
11,2023-12-26,Juice,19,79.69,Rainy,1,0,195,254
12,2023-06-12,Pizza,14,211.83,Sunny,1,1,80,56
13,2024-07-19,Burger,14,337.29,Hot,0,0,147,428
14,2023-01-29,Pasta,17,337.38,Cloudy,0,0,284,315
15,2024-09-23,Wrap,9,370.12,Hot,0,1,85,349
16,2024-05-12,Sandwich,15,99.47,Hot,0,0,209,463
17,2024-05-16,Tea,4,70.81,Cloudy,1,0,47,153
18,2024-09-08,Cake,8,391.73,Rainy,1,1,259,423
19,2024-07-01,Burger,14,292.72,Cloudy,0,1,209,90
20,2023-03-25,Salad,8,378.79,Cloudy,0,0,292,394
21,2023-11-13,Salad,5,296.42,Hot,1,1,243,285
22,2023-07-08,Ice Cream,2,444.15,Sunny,1,1,75,331
23,2024-06-29,Tacos,4,243.31,Hot,0,1,81,353
24,2024-11-01,Burger,19,149.04,Rainy,0,1,33,234
25,2023-04-10,Noodles,5,337.31,Rainy,1,0,254,473
26,2024-03-16,Cake,6,402.32,Sunny,0,0,168,480
27,2023-12-07,Coffee,14,458.9,Sunny,0,1,267,391
28,2023-01-04,Sandwich,13,85.79,Rainy,1,0,80,131
29,2024-05-17,Pizza,11,210.76,Cloudy,1,0,122,496
30,2024-09-24,Sandwich,15,199.25,Hot,1,1,92,249
31,2023-04-01,Tacos,4,379.35,Rainy,1,1,177,297
32,2024-10-05,Wrap,19,77.4,Cloudy,0,1,195,53
33,2024-11-12,Ice Cream,7,230.77,Sunny,0,0,212,53
34,2023-10-14,Juice,4,409.74,Rainy,0,1,185,264
35,2024-02-28,Juice,19,106.47,Rainy,1,1,45,109
36,2024-05-19,Juice,19,287.96,Cloudy,1,1,230,358
